celltype,pre_cluster,n_cells,survival_rate,n_fragments,n_datasets
pDC,0,638,0.4498432601880878,7,6
pDC,1,198,0.4898989898989899,7,3
pDC,2,208,0.3894230769230769,7,3
pDC,3,264,0.6022727272727273,7,4
pDC,4,52,0.9423076923076923,7,2
pDC,5,209,0.5454545454545454,7,4
Mast,0,297,0.8013468013468014,7,7
Mast,1,227,0.4581497797356828,7,7
Mast,2,250,0.408,7,6
Mast,3,500,0.652,7,4
Mast,4,90,0.8666666666666667,7,1
Mast,5,194,0.44329896907216493,7,3
Mast,6,48,0.4166666666666667,7,2
Mast,7,35,0.5142857142857142,7,1
Dendritic cell,0,185,0.7837837837837838,12,6
Dendritic cell,1,1454,0.938101788170564,12,8
Dendritic cell,2,1311,0.505720823798627,12,8
Dendritic cell,3,697,0.7747489239598279,12,6
Dendritic cell,4,141,0.7943262411347518,12,4
Dendritic cell,5,710,0.7887323943661971,12,5
Dendritic cell,6,288,0.5416666666666666,12,3
Dendritic cell,7,1960,0.4301020408163265,12,6
Dendritic cell,8,129,0.4186046511627907,12,2
Dendritic cell,9,293,0.4402730375426621,12,1
NK cell,0,1006,0.6113320079522863,7,8
NK cell,1,21,1.0,7,2
NK cell,2,957,0.8234064785788924,7,6
NK cell,3,521,0.44529750479846447,7,5
NK cell,4,1119,0.8605898123324397,7,7
NK cell,5,156,0.8333333333333334,7,5
NK cell,6,297,0.4074074074074074,7,2
NK cell,7,1131,0.34129089301503096,7,3
NK cell,8,183,0.9344262295081968,7,2
NK cell,9,613,0.4796084828711256,7,2
B cell,0,697,0.6872309899569584,8,6
B cell,1,997,0.3430290872617854,8,8
B cell,2,1500,0.5406666666666666,8,6
B cell,3,76,0.8947368421052632,8,2
B cell,4,2062,0.5092143549951503,8,6
B cell,5,241,0.5767634854771784,8,6
B cell,6,638,0.30094043887147337,8,6
B cell,7,127,0.968503937007874,8,5
B cell,8,531,0.3578154425612053,8,6
B cell,9,261,0.9731800766283525,8,2
B cell,10,261,0.8544061302681992,8,1
B cell,11,116,0.9137931034482759,8,1
Plasma cell,0,300,0.8533333333333334,9,4
Plasma cell,1,1025,0.4741463414634146,9,7
Plasma cell,2,683,0.8008784773060029,9,3
Plasma cell,3,438,0.723744292237443,9,4
Plasma cell,4,629,0.9379968203497615,9,4
Plasma cell,5,28,1.0,9,3
Plasma cell,6,757,0.52443857331572,9,6
Plasma cell,7,273,0.46153846153846156,9,2
Plasma cell,8,531,0.4708097928436911,9,5
Plasma cell,9,708,0.3813559322033898,9,3
Plasma cell,10,149,0.8993288590604027,9,1
Plasma cell,11,96,0.9479166666666666,9,1
Macrophage,0,1066,0.7326454033771107,11,8
Macrophage,1,3070,0.7022801302931596,11,8
Macrophage,2,727,0.6891334250343879,11,7
Macrophage,3,8437,0.4219509304255067,11,8
Macrophage,4,68,0.9705882352941176,11,3
Macrophage,5,1346,0.5037147102526003,11,2
Macrophage,6,2508,0.6790271132376395,11,7
Macrophage,7,3693,0.8445708096398592,11,4
Macrophage,8,3075,0.7915447154471544,11,6
Macrophage,9,840,0.5107142857142857,11,6
Macrophage,10,3828,0.4887669801462905,11,7
Macrophage,11,2729,0.44668376694759987,11,7
Macrophage,12,3484,0.4661308840413318,11,7
Macrophage,13,166,0.9939759036144579,11,4
Macrophage,14,1094,0.7778793418647166,11,5
Macrophage,15,690,0.21159420289855072,11,5
T cell,0,7954,0.36157907970832287,9,8
T cell,1,1836,0.6497821350762527,9,7
T cell,2,3303,0.5658492279745686,9,8
T cell,3,8159,0.5653879151856845,9,7
T cell,4,1176,0.9302721088435374,9,2
T cell,5,1305,0.41226053639846744,9,4
T cell,6,5457,0.35715594649074583,9,7
T cell,7,4095,0.29181929181929184,9,8
T cell,8,1581,0.4269449715370019,9,5
T cell,9,795,0.8427672955974843,9,2
T cell,10,2694,0.31143281365998515,9,2
